965660	15
965671	17
965676	15
965681	16
965686	15
965691	14
965696	15
965701	15
965706	16
965711	15
965716	16
965721	16
965726	16
965731	16
965736	16
965741	15
965746	14
965751	15
965756	15
965761	15
965766	15
965771	16
965776	16
965781	16
965786	16
965791	16
965796	16
965801	15
965806	16
965811	15
965816	15
965821	15
965826	15
965831	14
965836	16
965841	15
965846	16
965851	15
965856	15
965861	16
965866	16
965871	16
965876	15
965881	15
965886	14
965891	15
965896	15
965901	15
965906	16
965911	16
965916	16
965921	16
965926	16
965931	15
965936	16
965941	15
965946	15
965951	15
965956	15
965961	15
965966	14
965971	15
965976	15
965981	15
965986	15
965991	16
965996	16
966001	16
966006	16
966011	15
966016	15
966021	14
966026	14
966031	15
966036	15
966041	14
966046	15
966051	16
966056	16
966061	16
966066	16
966071	15
966076	15
966081	16
966086	15
966091	15
966096	14
966102	14
966107	14
966112	15
966117	15
966122	16
966127	17
966132	16
966137	15
966142	17
966147	16
966152	15
966157	15
966162	15
966167	15
966172	15
966177	15
966182	17
966187	16
966192	16
966197	15
966202	16
966207	16
966212	14
966217	15
966222	15
966227	15
966232	15
966237	16
966242	14
966247	16
966252	16
966257	16
966262	15
966267	15
966272	16
966277	16
966282	15
966287	15
966292	16
966297	14
966302	15
966307	15
966312	16
966317	15
966322	15
966327	16
966332	16
966337	16
966342	15
966347	16
966352	15
966358	15
966363	15
966368	15
966373	17
966378	16
966383	16
966388	16
966393	16
966398	15
966403	16
966408	16
966413	16
966418	15
966423	16
966428	15
966433	14
966438	16
966443	15
966448	16
966453	15
966458	17
966463	16
966468	16
966473	16
966478	15
966483	15
966488	14
966493	15
966498	15
966503	15
966508	15
966513	15
966518	15
966523	16
966528	15
966533	16
966538	15
966543	14
966548	15
966553	15
966558	15
966563	15
966568	15
966573	14
966578	15
966583	15
966588	16
966593	15
966598	15
966603	16
966608	17
966614	16
966619	15
966624	15
966629	14
966634	15
966639	15
966644	15
966649	16
966654	15
966659	15
966664	15
966669	16
966674	15
966679	14
966684	15
966689	15
966694	15
966699	15
966704	15
966709	14
966714	16
966719	16
966724	16
966729	15
966734	14
966739	15
966744	16
966749	15
966754	15
966759	16
966764	14
966769	15
966774	15
966779	16
966784	14
966789	15
966794	16
966799	16
966804	16
966809	15
966814	16
966819	14
966824	15
966829	15
966834	15
966839	15
966844	14
966849	14
966854	15
