125 100 4 14 1
(2, 20, 6, 10.00), (code 5)
(3, 48, 11, 10.00), (code 1)
(4, 76, 1, 10.00), (code 3)
(5, 104, 0, 10.00), (code 2)
START
2250439, 0, prem 1
2250439, 0, 1
2250564, 0, prem 0
2250564, 0, 0
2250689, 0, prem 0
2250689, 0, 0
2250814, 0, prem 1
2250814, 0, 1
2250939, 0, prem 0
2250939, 0, 0
2251064, 0, prem 0
2251064, 0, 0
2251189, 0, prem 1
2251189, 0, 1
2251314, 0, prem 0
2251314, 0, 0
2251439, 0, prem 0
2251439, 0, 0
2251564, 0, prem 0
2251564, 0, 0
2251689, 0, prem 1
2251689, 0, 1
2251814, 0, prem 0
2251814, 0, 0
2251939, 0, prem 0
2251939, 0, 0
2252064, 0, prem 0
2252064, 0, 0
2252189, 0, bit 1
2252189, 0, 1
2252314, 0, 0
2252439, 0, 0
2252564, 0, 1
2252689, 0, 0
2252814, 0, 0
2252939, 0, 1
2253064, 0, 0
2253189, 0, 0
2253314, 0, 0
2253440, 0, 1
2253565, 0, 0
2253690, 0, 0
2253815, 0, 0
2253940, 0, bit 1
2253940, 0, 1
2254065, 0, 0
2254190, 0, 0
2254315, 0, 1
2254440, 0, 0
2254565, 0, 0
2254569, 1, prem 1
2254569, 1, 1
2254690, 0, 1
2254694, 1, prem 1
2254697, 1, 1
2254815, 0, 0
2254819, 1, prem 0
2254819, 1, 0
2254940, 0, 0
2254944, 1, prem 1
2254944, 1, 1
2255065, 0, 0
2255069, 1, prem 0
2255069, 1, 0
2255190, 0, 1
2255194, 1, prem 0
2255194, 1, 0
2255315, 0, 0
2255319, 1, prem 0
2255319, 1, 0
2255440, 0, 0
2255444, 1, prem 0
2255444, 1, 0
2255565, 0, 0
2255569, 1, prem 0
2255569, 1, 0
2255690, 0, bit 0
2255690, 0, 0
2255694, 1, prem 0
2255694, 1, 0
2255815, 0, 0
2255819, 1, prem 0
2255819, 1, 0
2255940, 0, 0
2255944, 1, prem 0
2255944, 1, 0
2256065, 0, 0
2256069, 1, prem 1
2256069, 1, 1
2256190, 0, 0
2256194, 1, prem 0
2256194, 1, 0
2256315, 0, 0
2256319, 1, bit 1
2256319, 1, 1
2256440, 0, 0
2256444, 1, 1
2256565, 0, 0
2256569, 1, 0
2256690, 0, 0
2256694, 1, 1
2256815, 0, 0
2256819, 1, 0
2256822, 2, prem 1
2256822, 2, 1
2256940, 0, 0
2256944, 1, 0
2256947, 2, prem 1
2256947, 2, 1
2257065, 0, 0
2257069, 1, 0
2257072, 2, prem 0
2257072, 2, 0
2257190, 0, 0
2257195, 1, 0
2257197, 2, prem 0
2257200, 2, 0
2257315, 0, 0
2257320, 1, 0
2257323, 2, prem 0
2257323, 2, 0
2257440, 0, bit 0
2257440, 0, 0
2257445, 1, 0
2257448, 2, prem 0
2257448, 2, 0
2257565, 0, 0
2257570, 1, 0
2257573, 2, prem 1
2257573, 2, 1
2257690, 0, 0
2257695, 1, 0
2257698, 2, prem 0
2257698, 2, 0
2257815, 0, 0
2257820, 1, 1
2257823, 2, prem 0
2257823, 2, 0
2257940, 0, 0
2257945, 1, 0
2257948, 2, prem 1
2257948, 2, 1
2258065, 0, 0
2258070, 1, bit 0
2258070, 1, 0
2258073, 2, prem 0
2258073, 2, 0
2258190, 0, 0
2258195, 1, 0
2258198, 2, prem 0
2258198, 2, 0
2258315, 0, 0
2258320, 1, 0
2258323, 2, prem 0
2258323, 2, 0
2258440, 0, 0
2258445, 1, 0
2258448, 2, prem 0
2258448, 2, 0
2258565, 0, 0
2258570, 1, 0
2258573, 2, bit 1
2258573, 2, 1
2258690, 0, 0
2258695, 1, 0
2258698, 2, 1
2258816, 0, 0
2258820, 1, 0
2258823, 2, 0
2258941, 0, 0
2258945, 1, 0
2258948, 2, 0
2259066, 0, 0
2259070, 1, 0
2259073, 2, 0
2259191, 0, bit 1
2259191, 0, 1
2259195, 1, 0
2259198, 2, 0
2259316, 0, 0
2259320, 1, 0
2259323, 2, 1
2259441, 0, 0
2259445, 1, 0
2259448, 2, 0
2259566, 0, 1
2259570, 1, 0
2259573, 2, 0
2259691, 0, 0
2259695, 1, 0
2259698, 2, 1
2259816, 0, 0
2259820, 1, bit 0
2259820, 1, 0
2259823, 2, 0
2259941, 0, 1
2259945, 1, 0
2259948, 2, 0
2260066, 0, 0
2260070, 1, 0
2260073, 2, 0
2260191, 0, 0
2260195, 1, 0
2260198, 2, 0
2260201, 3, prem 1
2260201, 3, 1
2260316, 0, 0
2260320, 1, 0
2260323, 2, bit 0
2260323, 2, 0
2260326, 3, prem 1
2260326, 3, 1
2260441, 0, 1
2260445, 1, 0
2260448, 2, 0
2260451, 3, prem 0
2260451, 3, 0
2260566, 0, 0
2260570, 1, 0
2260573, 2, 0
2260576, 3, prem 0
2260576, 3, 0
2260691, 0, 0
2260695, 1, 0
2260698, 2, 0
2260701, 3, prem 1
2260701, 3, 1
2260816, 0, 0
2260820, 1, 0
2260823, 2, 0
2260826, 3, prem 1
2260826, 3, 1
2260941, 0, bit 1
2260941, 0, 1
2260945, 1, 0
2260948, 2, 0
2260951, 3, prem 0
2260951, 3, 0
2261066, 0, 0
2261070, 1, 0
2261073, 2, 0
2261076, 3, prem 0
2261076, 3, 0
2261191, 0, 0
2261195, 1, 0
2261198, 2, 0
2261201, 3, prem 0
2261201, 3, 0
2261316, 0, 1
2261320, 1, 0
2261323, 2, 0
2261326, 3, prem 0
2261326, 3, 0
2261441, 0, 0
2261445, 1, 0
2261448, 2, 0
2261451, 3, prem 0
2261451, 3, 0
2261566, 0, 0
2261570, 1, bit 1
2261570, 1, 1
2261573, 2, 0
2261576, 3, prem 0
2261576, 3, 0
2261691, 0, 1
2261695, 1, 1
2261698, 2, 0
2261701, 3, prem 0
2261701, 3, 0
2261816, 0, 0
2261820, 1, 0
2261823, 2, 0
2261826, 3, prem 0
2261826, 3, 0
2261941, 0, 0
2261945, 1, 1
2261948, 2, 0
2261951, 3, bit 1
2261951, 3, 1
2262066, 0, 0
2262070, 1, 0
2262073, 2, bit 0
2262073, 2, 0
2262076, 3, 1
2262191, 0, 1
2262195, 1, 0
2262198, 2, 0
2262201, 3, 0
2262316, 0, 0
2262320, 1, 0
2262323, 2, 0
2262326, 3, 0
2262441, 0, 0
2262445, 1, 0
2262448, 2, 0
2262451, 3, 1
2262566, 0, 0
2262571, 1, 0
2262573, 2, 0
2262576, 3, 1
2262691, 0, bit 1
2262691, 0, 1
2262696, 1, 0
2262699, 2, 0
2262701, 3, 0
2262816, 0, 0
