125 100 3 7 4
(2, 20, 4, 10.00), (code 2)
(3, 90, 0, 10.00), (code 1)
(4, 160, 6, 10.00), (code 0)
START
2841342, 0, prem 1
2841342, 0, 1
2841467, 0, 1
2841592, 0, 1
2841717, 0, 1
2841842, 0, prem 0
2841842, 0, 0
2841967, 0, 0
2842092, 0, 0
2842217, 0, 0
2842342, 0, prem 1
2842342, 0, 1
2842467, 0, 1
2842592, 0, 1
2842717, 0, 1
2842842, 0, prem 1
2842842, 0, 1
2842967, 0, 1
2843092, 0, 1
2843217, 0, 1
2843342, 0, prem 0
2843342, 0, 0
2843467, 0, 0
2843592, 0, 0
2843717, 0, 0
2843842, 0, prem 0
2843845, 0, 0
2843967, 0, 0
2844092, 0, 0
2844217, 0, 0
2844342, 0, prem 1
2844342, 0, 1
2844467, 0, 1
2844592, 0, 1
2844717, 0, 1
2844843, 0, bit 1
2844843, 0, 1
2844968, 0, 0
2845093, 0, 1
2845218, 0, 1
2845343, 0, 0
2845468, 0, 0
2845593, 0, 1
2845718, 0, bit 1
2845718, 0, 1
2845843, 0, 0
2845968, 0, 1
2846093, 0, 1
2846218, 0, 0
2846343, 0, 0
2846468, 0, 1
2846593, 0, bit 1
2846593, 0, 1
2846718, 0, 0
2846843, 0, 1
2846968, 0, 1
2847093, 0, 0
2847218, 0, 0
2847343, 0, 1
2847468, 0, bit 0
2847468, 0, 0
2847593, 0, 1
2847718, 0, 0
2847843, 0, 0
2847968, 0, 1
2848093, 0, 1
2848218, 0, 0
2848343, 0, bit 0
2848343, 0, 0
2848468, 0, 1
2848593, 0, 0
2848718, 0, 0
2848843, 0, 1
2848968, 0, 1
2849093, 0, 0
2849218, 0, bit 1
2849218, 0, 1
2849343, 0, 0
2849468, 0, 1
2849593, 0, 1
2849596, 1, prem 0
2849596, 1, 0
2849718, 0, 0
2849721, 1, 0
2849843, 0, 0
2849846, 1, 0
2849968, 0, 1
2849971, 1, 0
2850093, 0, bit 1
2850093, 0, 1
2850096, 1, prem 1
2850099, 1, 1
2850219, 0, 0
2850221, 1, 1
2850344, 0, 1
2850347, 1, 1
2850469, 0, 1
2850472, 1, 1
2850594, 0, 0
2850597, 1, prem 0
2850597, 1, 0
2850719, 0, 0
2850722, 1, 0
2850844, 0, 1
2850847, 1, 0
2850969, 0, bit 1
2850969, 0, 1
2850972, 1, 0
2851094, 0, 0
2851097, 1, prem 1
2851097, 1, 1
2851219, 0, 1
2851222, 1, 1
2851344, 0, 1
2851347, 1, 1
2851469, 0, 0
2851472, 1, 1
2851594, 0, 0
2851597, 1, prem 0
2851597, 1, 0
2851719, 0, 1
2851722, 1, 0
2851844, 0, bit 0
2851847, 0, 0
2851847, 1, 0
2851969, 0, 1
2851972, 1, 0
2852094, 0, 0
2852097, 1, prem 1
2852097, 1, 1
2852219, 0, 0
2852222, 1, 1
2852344, 0, 1
2852347, 1, 1
2852469, 0, 1
2852472, 1, 1
2852594, 0, 0
2852597, 1, prem 1
2852597, 1, 1
2852719, 0, bit 0
2852719, 0, 0
2852722, 1, 1
2852844, 0, 1
2852847, 1, 1
2852969, 0, 0
2852972, 1, 1
2853094, 0, 0
2853097, 1, bit 1
2853097, 1, 0
2853219, 0, 1
2853222, 1, 1
2853344, 0, 1
2853347, 1, 0
2853469, 0, 0
2853472, 1, 1
2853594, 0, bit 0
2853597, 0, 0
2853597, 1, 0
2853719, 0, 1
2853722, 1, 1
2853844, 0, 0
2853847, 1, 1
2853969, 0, 0
2853972, 1, bit 0
2853972, 1, 1
2854094, 0, 1
2854097, 1, 0
2854219, 0, 1
2854222, 1, 1
2854344, 0, 0
2854347, 1, 0
2854469, 0, bit 0
2854469, 0, 0
2854472, 1, 1
2854594, 0, 1
2854597, 1, 0
2854719, 0, 0
2854722, 1, 0
2854844, 0, 0
2854847, 1, bit 0
2854847, 1, 1
2854969, 0, 1
2854972, 1, 0
2855094, 0, 1
2855097, 1, 1
2855219, 0, 0
2855222, 1, 0
2855344, 0, bit 0
2855344, 0, 0
2855347, 1, 1
2855469, 0, 1
2855472, 1, 0
2855595, 0, 0
2855597, 1, 0
2855720, 0, 0
2855723, 1, bit 1
2855723, 1, 0
2855845, 0, 1
2855848, 1, 1
2855970, 0, 1
2855973, 1, 0
2856095, 0, 0
2856098, 1, 1
2856220, 0, bit 1
2856220, 0, 1
2856223, 1, 0
2856345, 0, 0
2856348, 1, 1
2856470, 0, 1
2856473, 1, 1
2856595, 0, 1
2856598, 1, bit 1
2856598, 1, 0
2856720, 0, 0
2856723, 1, 1
2856845, 0, 0
2856848, 1, 0
2856970, 0, 1
2856973, 1, 1
2857095, 0, bit 1
2857095, 0, 1
2857098, 1, 0
2857220, 0, 0
2857223, 1, 1
2857345, 0, 1
2857348, 1, 1
2857470, 0, 1
2857473, 1, bit 1
2857473, 1, 0
2857595, 0, 0
2857598, 1, 1
2857720, 0, 0
2857723, 1, 0
2857845, 0, 1
2857848, 1, 1
2857970, 0, bit 1
2857970, 0, 1
2857973, 1, 0
2858095, 0, 0
2858098, 1, 1
2858220, 0, 1
2858223, 1, 1
2858345, 0, 1
2858348, 1, bit 0
2858348, 1, 1
2858470, 0, 0
2858473, 1, 0
2858595, 0, 0
2858598, 1, 1
2858720, 0, 1
2858723, 1, 0
2858845, 0, bit 0
2858845, 0, 0
2858848, 1, 1
2858970, 0, 1
2858973, 1, 0
2859095, 0, 0
2859098, 1, 0
2859101, 2, prem 0
2859101, 2, 0
2859220, 0, 0
2859223, 1, bit 0
2859223, 1, 1
2859226, 2, 0
2859345, 0, 1
2859348, 1, 0
2859351, 2, 0
2859470, 0, 1
2859473, 1, 1
2859476, 2, 0
2859595, 0, 0
2859598, 1, 0
2859601, 2, prem 1
2859601, 2, 1
2859720, 0, bit 1
2859720, 0, 1
2859723, 1, 1
2859726, 2, 1
2859845, 0, 0
2859848, 1, 0
2859851, 2, 1
2859970, 0, 1
2859973, 1, 0
2859976, 2, 1
2860095, 0, 1
2860098, 1, bit 0
2860098, 1, 1
2860101, 2, prem 1
2860104, 2, 1
2860220, 0, 0
2860223, 1, 0
2860226, 2, 1
2860345, 0, 0
2860348, 1, 1
2860351, 2, 1
2860470, 0, 1
2860473, 1, 0
2860476, 2, 1
2860595, 0, bit 1
2860595, 0, 1
2860598, 1, 1
2860601, 2, prem 1
2860601, 2, 1
2860720, 0, 0
2860723, 1, 0
2860726, 2, 1
2860845, 0, 1
2860848, 1, 0
2860851, 2, 1
2860971, 0, 1
2860973, 1, bit 1
2860973, 1, 0
2860976, 2, 1
2861096, 0, 0
2861099, 1, 1
2861101, 2, prem 1
2861101, 2, 1
2861221, 0, 0
2861224, 1, 0
2861227, 2, 1
2861346, 0, 1
2861349, 1, 1
2861352, 2, 1
2861471, 0, bit 1
2861471, 0, 1
2861474, 1, 0
2861477, 2, 1
2861596, 0, 0
2861599, 1, 1
2861602, 2, prem 0
2861602, 2, 0
2861721, 0, 1
2861724, 1, 1
2861727, 2, 0
2861846, 0, 1
2861849, 1, bit 1
2861849, 1, 0
2861852, 2, 0
2861971, 0, 0
2861974, 1, 1
2861977, 2, 0
2862096, 0, 0
2862099, 1, 0
2862102, 2, prem 0
2862102, 2, 0
2862221, 0, 1
2862224, 1, 1
2862227, 2, 0
2862346, 0, bit 1
2862346, 0, 1
2862349, 1, 0
2862352, 2, 0
2862471, 0, 0
2862474, 1, 1
2862477, 2, 0
2862596, 0, 1
2862599, 1, 1
2862602, 2, bit 1
2862602, 2, 0
2862721, 0, 1
2862724, 1, bit 1
2862724, 1, 0
2862727, 2, 1
2862846, 0, 0
2862849, 1, 1
2862852, 2, 1
2862971, 0, 0
2862974, 1, 0
2862977, 2, 1
2863096, 0, 1
2863099, 1, 1
2863102, 2, 1
2863221, 0, bit 1
2863221, 0, 1
2863224, 1, 0
2863227, 2, 0
2863346, 0, 0
2863349, 1, 1
2863352, 2, 0
2863471, 0, 1
2863474, 1, 1
2863477, 2, bit 0
2863477, 2, 1
2863596, 0, 1
2863599, 1, bit 1
2863599, 1, 0
2863602, 2, 0
2863721, 0, 0
2863724, 1, 1
2863727, 2, 0
2863846, 0, 0
2863849, 1, 0
2863852, 2, 0
2863971, 0, 1
2863974, 1, 1
2863977, 2, 0
2864096, 0, bit 1
2864096, 0, 1
2864099, 1, 0
2864102, 2, 1
2864221, 0, 0
2864224, 1, 1
2864227, 2, 1
2864346, 0, 1
2864349, 1, 1
2864352, 2, bit 0
2864352, 2, 1
2864471, 0, 1
2864474, 1, bit 1
2864474, 1, 0
2864477, 2, 0
2864596, 0, 0
2864599, 1, 1
2864602, 2, 0
2864721, 0, 0
2864724, 1, 0
2864727, 2, 0
2864846, 0, 1
2864849, 1, 1
2864852, 2, 0
2864971, 0, bit 1
2864971, 0, 1
2864974, 1, 0
2864977, 2, 1
2865096, 0, 0
2865099, 1, 1
2865102, 2, 1
2865221, 0, 1
2865224, 1, 1
2865227, 2, bit 0
2865227, 2, 1
2865346, 0, 1
2865349, 1, bit 0
2865349, 1, 1
2865352, 2, 0
2865471, 0, 0
2865474, 1, 0
2865477, 2, 0
2865596, 0, 0
2865599, 1, 1
2865602, 2, 0
2865721, 0, 1
2865724, 1, 0
2865727, 2, 0
2865846, 0, bit 1
2865846, 0, 1
